Rank,Player,Team,Position,Points,Games,Avg
550,Hunter Bryant,DET,TE,4.4,4,1.1
569,Rashaad Penny,SEA,RB,3.4,3,1.1
617,Geno Smith,SEA,QB,1.1,1,1.1
464,Malik Taylor,GB,WR,13.5,13,1
469,Ryan Nall,CHI,RB,12.7,13,1
487,Josh Hill,FA,TE,10.6,11,1
490,Diontae Spencer,DEN,WR,10.5,11,1
574,Austin Walter,NYJ,RB,3,3,1
594,Deontay Burnett,FA,WR,1.9,2,1
620,Brandon Wright,LAR,K,1,1,1
620,Taylor Russolino,FA,K,1,1,1
460,Christian Blake,ATL,WR,14.1,15,0.9
473,Patrick Laird,MIA,RB,12,14,0.9
482,Blake Bell,KC,TE,11.2,13,0.9
483,Javon Wims,CHI,WR,11,13,0.9
487,Stephen Anderson,LAC,TE,10.6,12,0.9
492,C.J. Board,NYG,WR,10.4,12,0.9
495,Vance McDonald,FA,TE,9.9,11,0.9
499,Justin Watson,TB,WR,9.4,10,0.9
519,Anthony Sherman,FA,RB,7.3,8,0.9
597,Case Keenum,CLE,QB,1.8,2,0.9
471,Ray-Ray McCloud,PIT,WR,12.2,16,0.8
481,Kaden Smith,NYG,TE,11.2,15,0.8
497,Jakob Johnson,NE,RB,9.5,12,0.8
504,Joe Reed,LAC,WR,8.9,11,0.8
515,C.J. Prosise,TB,RB,7.7,10,0.8
516,Reggie Gilliam,BUF,RB,7.6,9,0.8
542,Dontrell Hilliard,HOU,RB,5,6,0.8
555,Ted Ginn Jr.,FA,WR,4,5,0.8
585,Jameis Winston,NO,QB,2.4,3,0.8
486,Alex Erickson,HOU,WR,10.6,16,0.7
509,Trent Taylor,CIN,WR,8.6,12,0.7
509,Ryan Griffin,NYJ,TE,8.6,13,0.7
513,Justice Hill,BAL,RB,8,11,0.7
520,Jonathan Ward,ARI,RB,7.1,10,0.7
522,Colin Thompson,CAR,TE,6.7,10,0.7
522,Buddy Howell,HOU,RB,6.7,10,0.7
527,Tyrie Cleveland,DEN,WR,6.3,9,0.7
551,Devine Ozigbo,JAC,RB,4.3,6,0.7
553,River Cracraft,SF,WR,4.1,6,0.7
558,Juwan Johnson,NO,WR,3.9,6,0.7
578,Josh Malone,NYJ,WR,2.8,4,0.7
629,Tyler Bray,FA,QB,0.7,1,0.7
629,Craig Reynolds,DET,RB,0.7,1,0.7
513,Patrick Ricard,BAL,RB,8,13,0.6
517,Jaylen Samuels,PIT,RB,7.4,12,0.6
534,Jaydon Mickens,TB,WR,5.8,10,0.6
566,Kahale Warring,HOU,TE,3.5,6,0.6
574,Ben Ellefson,JAC,TE,3,5,0.6
587,Daurice Fountain,KC,WR,2.3,4,0.6
599,John Ross,NYG,WR,1.7,3,0.6
613,Josiah Deguara,GB,TE,1.2,2,0.6
631,Brandon Dillon,MIN,TE,0.6,1,0.6
631,Lamar Miller,WAS,RB,0.6,1,0.6
518,Pharoh Cooper,JAC,WR,7.3,15,0.5
526,Ashton Dulin,IND,WR,6.4,12,0.5
527,Luke Stocker,TEN,TE,6.3,14,0.5
537,Nick Westbrook-Ikhine,TEN,WR,5.3,11,0.5
539,Johnny Mundt,LAR,TE,5.3,11,0.5
554,Tanner Hudson,TB,TE,4.1,8,0.5
590,Antonio Callaway,KC,WR,2,4,0.5
620,Gehrig Dieter,KC,WR,1,2,0.5
637,Trenton Irwin,CIN,WR,0.5,1,0.5
524,Keith Smith,ATL,RB,6.6,15,0.4
537,Cethan Carter,MIA,TE,5.3,13,0.4
539,K.J. Hill Jr.,LAC,WR,5.3,14,0.4
541,Chris Manhertz,JAC,TE,5.2,12,0.4
542,Trent Sherfield,SF,WR,5,12,0.4
545,Trenton Cannon,CAR,RB,4.9,12,0.4
546,Michael Burton,KC,RB,4.6,12,0.4
549,Demetrius Harris,ARI,TE,4.5,12,0.4
558,Khari Blasingame,TEN,RB,3.9,11,0.4
570,Seth Roberts,FA,WR,3.1,7,0.4
582,Antonio Gandy-Golden,WAS,WR,2.5,6,0.4
592,Tommylee Lewis,NO,WR,1.9,5,0.4
592,Jason Huntley,PHI,RB,1.9,5,0.4
600,Scottie Phillips,HOU,RB,1.6,4,0.4
627,AJ McCarron,ATL,QB,0.8,2,0.4
640,Tony Brooks-James,PIT,RB,0.4,1,0.4
546,Levine Toilolo,NYG,TE,4.6,15,0.3
551,Nick Keizer,KC,TE,4.3,13,0.3
562,Deon Yelder,WAS,TE,3.6,11,0.3
563,Brandon Zylstra,CAR,WR,3.6,11,0.3
563,Charlie Woerner,SF,TE,3.6,11,0.3
565,Elijhaa Penny,NYG,RB,3.5,13,0.3
570,Stephen Carlson,CLE,TE,3.1,12,0.3
581,Darrius Shepherd,KC,WR,2.6,8,0.3
594,Donte Moncrief,HOU,WR,1.9,6,0.3
600,LeVante Bellamy,DEN,RB,1.6,5,0.3
600,Dalton Keene,NE,TE,1.6,5,0.3
609,Logan Woodside,TEN,QB,1.3,5,0.3
609,Vyncint Smith,NYJ,WR,1.3,5,0.3
620,Temarrick Hemingway,WAS,TE,1,4,0.3
627,Dexter Williams,GB,RB,0.8,3,0.3
631,Jonathan Williams,WAS,RB,0.6,2,0.3
570,Daniel Brown,NYJ,TE,3.1,13,0.2
580,Alex Armah,NO,RB,2.7,13,0.2
582,Jaeden Graham,ATL,TE,2.5,13,0.2
584,Rico Dowdle,DAL,RB,2.4,11,0.2
588,Penny Hart,SEA,WR,2.2,9,0.2
598,Andy Janovich,CLE,RB,1.7,11,0.2
600,Eric Saubert,DEN,TE,1.6,7,0.2
606,Dwayne Washington,NO,RB,1.5,10,0.2
613,Luke Willson,SEA,TE,1.2,6,0.2
617,Bennie Fowler III,SF,WR,1.1,5,0.2
617,Marcus Kemp,KC,WR,1.1,6,0.2
624,Senorise Perry,FA,RB,0.9,5,0.2
626,Chandler Cox,FA,RB,0.9,6,0.2
641,Qadree Ollison,ATL,RB,0.3,2,0.2
607,Derek Carrier,LV,TE,1.4,12,0.1
607,James Proche,BAL,WR,1.4,14,0.1
624,D.J. Foster,FA,RB,0.9,8,0.1
631,John Lovett,FA,QB,0.6,7,0.1
631,Cullen Gillaspia,NYG,RB,0.6,7,0.1
631,Jeremy Sprinkle,DAL,TE,0.6,12,0.1
637,Jake Butt,CHI,TE,0.5,5,0.1
637,Trevon Wesco,NYJ,TE,0.5,10,0.1
641,JoJo Natson,CLE,WR,0.3,3,0.1
641,Isaac Nauta,GB,TE,0.3,3,0.1
644,Marcus Baugh,PIT,TE,0.2,6,0
644,Bruce Miller,FA,TE,0.2,8,0
646,Brycen Hopkins,LAR,TE,0,1,0
646,Juwann Winfree,GB,WR,0,1,0
646,Marken Michel,PHI,WR,0,1,0
646,Isaiah Coulter,HOU,WR,0,1,0
646,Joe Webb III,FA,QB,0,1,0
646,Kevin Rader,PIT,TE,0,1,0
646,Chris Myarick,MIA,TE,0,1,0
646,Derrick Willies,CLE,WR,0,1,0
646,Javon Leake,DET,RB,0,1,0
646,Jake Bargas,MIN,TE,0,1,0
646,Jordan Matthews,SF,WR,0,1,0
646,Trey Quinn,LV,WR,0,1,0
646,Matt Sokol,LAC,TE,0,1,0
646,Mike White,NYJ,QB,0,1,0
646,Farrod Green,IND,TE,0,1,0
646,Johnny Holton,NYG,WR,0,1,0
646,Matt Cole,NYG,WR,0,1,0
646,Stephen Sullivan,CAR,TE,0,1,0
646,Brandin Bryant,BUF,RB,0,1,0
646,Alex Bachman,NYG,WR,0,1,0
646,Duke Williams,BUF,WR,0,1,0
646,Easton Stick,LAC,QB,0,1,0
646,Deon Cain,BAL,WR,0,1,0
646,Reggie Begelton,GB,WR,0,1,0
646,Jason Moore,LAC,WR,0,1,0
646,Keelan Doss,LV,WR,0,1,0
646,Sewo Olonilua,DAL,RB,0,2,0
646,Chris Rowland,ATL,WR,0,2,0
646,Caleb Wilson,PHI,TE,0,2,0
646,Seth DeValve,FA,TE,0,2,0
646,Darius Bradwell,LAC,RB,0,2,0
646,Antony Auclair,HOU,TE,0,2,0
646,Jeff Badet,ATL,WR,0,2,0
646,Hakeem Butler,PHI,WR,0,2,0
646,Taywan Taylor,HOU,WR,0,2,0
646,Daniel Helm,FA,TE,0,2,0
646,Ricky Seals-Jones,WAS,TE,0,2,0
646,Kevin White,SF,WR,0,2,0
646,Garrett Griffin,NO,TE,0,2,0
646,Cyril Grayson Jr.,TB,WR,0,3,0
646,Noah Togiai,IND,TE,0,3,0
646,Kyle Nelson,FA,TE,0,3,0
646,Rashod Berry,NE,TE,0,3,0
646,Chris Moore,HOU,WR,0,3,0
646,Deante Burton,DAL,WR,0,3,0
646,Jeremy Cox,FA,RB,0,3,0
646,Evan Baylis,KC,TE,0,3,0
646,Trey Edmunds,PIT,RB,0,3,0
646,Tavon Austin,JAC,WR,0,4,0
646,Stanley Morgan Jr.,CIN,WR,0,4,0
646,Tajae Sharpe,ATL,WR,0,4,0
646,Eric Tomlinson,BAL,TE,0,4,0
646,Tyler Davis,JAC,TE,0,4,0
646,Raymond Calais,LAR,RB,0,4,0
646,Quinton Bell,TB,WR,0,5,0
646,Beau Brinkley,FA,TE,0,5,0
646,Malik Turner,DAL,WR,0,5,0
646,Kenjon Barner,FA,RB,0,6,0
646,Andrew Beck,DEN,TE,0,6,0
646,Sean McKeon,DAL,TE,0,8,0
646,Nathan Cottrell,JAC,RB,0,8,0
646,Mason Schreck,CIN,TE,0,9,0
646,Derek Watt,PIT,RB,0,9,0
646,K.J. Osborn,MIN,WR,0,9,0
646,Xavier Jones,LAR,RB,0,9,0
646,Clark Harris,CIN,TE,0,10,0
646,Justin Hardee,NYJ,WR,0,10,0
646,Taiwan Jones,BUF,RB,0,11,0
646,Matthew Slater,NE,WR,0,11,0
646,Dan Chisena,MIN,WR,0,12,0
646,J.P. Holtz,CHI,TE,0,14,0
720,Tim Boyle,DET,QB,-0.9,8,-0.1
721,Andre Roberts,HOU,WR,-0.9,15,-0.1
723,DeAndre Carter,WAS,WR,-1.2,13,-0.1
725,Nsimba Webster,SF,WR,-2,16,-0.1
727,Ty Long,LAC,K,-2.8,16,-0.2
717,Matt Schaub,FA,QB,-0.4,1,-0.4
718,Nate Sudfeld,SF,QB,-0.5,1,-0.5
725,Dwayne Harris,FA,WR,-2,3,-0.7
719,Kendall Hinton,DEN,WR,-0.8,1,-0.8
724,Dede Westbrook,MIN,WR,-1.6,2,-0.8
722,Adrian Killins Jr.,PHI,RB,-1,1,-1
